Market,ST,MSA,CC Rate,SF/Cap,Med HHI,Sup Gr%,SF Dev,Tax,Crime,Ind Basis,Exit CO,Exit Stab,Yld/Basis,Sc:Rate,Sc:Sat,Sc:HHI,Sc:Grw,Sc:Tax,Sc:Crm,Sc:Bas,Sc:Exit,Score,Rank,Tier
"Rockdale, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.38,7.41,74503,0.3147,293215,0.04,3100,105,167,239,0.1577142857142857,0.454,0.42800000000000005,0.204,0.12,0.06499999999999995,0.603,0.6799999999999999,0.612,0.45704999999999996,1648,C
"New Lenox, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.38,4.86,126813,0.3763,161085,0.04,3100,105,167,239,0.1577142857142857,0.454,0.755,0.807,0.08699999999999997,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5509499999999999,927,B
"Round Lake Park, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.38,4.1,111602,0.1187,67660,0.04,3100,105,167,239,0.1577142857142857,0.454,0.839,0.68,0.42300000000000004,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5782,733,B
"Schaumburg, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.38,4.99,107440,,,0.04,3100,105,167,239,0.1577142857142857,0.454,0.737,0.631,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Carol Stream, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.38,4.84,117166,0.0971,113521,0.04,3100,105,167,239,0.1577142857142857,0.454,0.757,0.731,0.504,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5684,801,B
"Barrington, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.37,5.55,156407,0.4235,211920,0.04,3100,105,167,239,0.15657142857142858,0.443,0.6639999999999999,0.939,0.06799999999999995,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5362,1037,B
"South Barrington, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.37,4.45,119960,0.0523,42000,0.04,3100,105,167,239,0.15657142857142858,0.443,0.8009999999999999,0.754,0.716,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5867499999999999,672,B
"Oakbrook Terrace, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.36,4.87,129984,,,0.04,3100,105,167,239,0.15542857142857144,0.431,0.753,0.833,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Crest Hill, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.35,5.77,84356,0.4362,448666,0.04,3100,105,167,239,0.1542857142857143,0.418,0.635,0.34,0.06599999999999995,0.06499999999999995,0.603,0.6799999999999999,0.612,0.4953499999999999,1368,C
"Hainesville, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.35,4.63,112734,0.3339,207660,0.04,3100,105,167,239,0.1542857142857143,0.418,0.78,0.69,0.10699999999999998,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5438999999999999,983,B
