Market,ST,MSA,Tier,Score,Rank,lat,lng
"Between, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2281,2339.0,33.749,-84.38798
"Woodstock, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.26,2298.0,34.10149,-84.51938
"Sugar Hill, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2376,2329.0,34.10649,-84.03352
"Buford, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.22415,2342.0,33.749,-84.38798
"Holly Springs, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.24935,2313.0,33.749,-84.38798
"Redan, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2734,2267.0,33.74538,-84.13158
"Rest Haven, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2239999999999999,2343.0,33.749,-84.38798
"Suwanee, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2773,2261.0,34.05149,-84.0713
"Flowery Branch, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.209,2351.0,33.749,-84.38798
"Walnut Grove, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2669,2283.0,33.749,-84.38798
"Fayetteville, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2376,2329.0,33.44873,-84.45493
"Roopville, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.32155,2135.0,33.749,-84.38798
"Centralhatchee, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Bowdon, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Tallapoosa, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Mount Zion, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Taylorsville, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Jersey, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"White, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Luthersville, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Buchanan, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Woodbury, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Concord, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Buckhead, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Brooks, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Palmetto, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Woolsey, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Chattahoochee Hills, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Mansfield, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Bostwick, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Newborn, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Kingston, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Good Hope, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Whitesburg, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Gillsville, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Greenville, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Molena, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Gay, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Shady Dale, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Monticello, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Tate City, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Bastrop, TX",TX,"Austin-Round Rock-San Marcos, TX",D,0.4257,1778.0,30.26715,-97.74306
"Lago Vista, TX",TX,"Austin-Round Rock-San Marcos, TX",D,0.4175,1821.0,30.26715,-97.74306
"Elgin, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Rollingwood, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"West Lake Hills, TX",TX,"Austin-Round Rock-San Marcos, TX",C,0.4809999999999999,1486.0,30.26715,-97.74306
"Austin, TX",TX,"Austin-Round Rock-San Marcos, TX",D,0.4268,1771.0,30.26715,-97.74306
"Woodcreek, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Wimberley, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Sunset Valley, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Jarrell, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Uhland, TX",TX,"Austin-Round Rock-San Marcos, TX",D,0.45,1664.0,30.26715,-97.74306
"Lockhart, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Bee Cave, TX",TX,"Austin-Round Rock-San Marcos, TX",D,0.38445,1940.0,30.26715,-97.74306
"Kyle, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.3595999999999999,2025.0,29.98911,-97.87723
"Cedar Creek, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Creedmoor, TX",TX,"Austin-Round Rock-San Marcos, TX",D,0.41985,1808.0,30.26715,-97.74306
"Hudson Bend, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.34015,2083.0,30.26715,-97.74306
"Manchaca, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.35455,2040.0,30.26715,-97.74306
"San Leanna, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.365,2010.0,30.26715,-97.74306
"Volente, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.3229000000000001,2130.0,30.26715,-97.74306
"Mountain City, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Hays, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.3331,2101.0,30.26715,-97.74306
"The Hills, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.3036999999999999,2177.0,30.26715,-97.74306
"Point Venture, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.2952,2202.0,30.26715,-97.74306
"Jonestown, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.3439,2068.0,30.26715,-97.74306
"Webberville, TX",TX,"Austin-Round Rock-San Marcos, TX",,,,30.26715,-97.74306
"Martindale, TX",TX,"Austin-Round Rock-San Marcos, TX",D,0.40135,1876.0,30.26715,-97.74306
"Lakeway, TX",TX,"Austin-Round Rock-San Marcos, TX",E,0.29235,2214.0,30.26715,-97.74306
"Garfield, TX",TX,"Austin-Round Rock-San Marcos, TX",D,0.38935,1931.0,30.26715,-97.74306
